route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101E,SA,8693305,E-Line Lincoln,1, 101 31,793379
101E,SA,8693306,E-Line Lincoln,1, 101 34,793379
101E,SA,8693307,E-Line Lincoln,1, 101 36,793379
101E,SA,8693310,E-Line Lincoln,1, 101 35,793379
101E,SA,8693317,E-Line Lincoln,1, 101 35,793378
101E,SA,8693318,E-Line Lincoln,1, 101 32,793379
101E,SA,8693321,E-Line Lincoln,1, 101 37,793379
101E,SA,8693324,E-Line Lincoln,1, 101 31,793379
101E,SA,8693327,E-Line Lincoln,1, 101 35,793379
101E,SA,8693330,E-Line Lincoln,1, 101 34,793379
101E,SA,8693333,E-Line Lincoln,1, 101 33,793379
101E,SA,8693336,E-Line Lincoln,1, 101 36,793379
101E,SA,8693339,E-Line Lincoln,1, 101 32,793379
101E,SA,8693342,E-Line Lincoln,1, 101 37,793379
101E,SA,8693348,E-Line Lincoln,1, 101 33,793379
101E,SA,8693351,E-Line Lincoln,1, 101 32,793379
101E,SA,8693354,E-Line Lincoln,1, 101 34,793379
101E,SA,8693357,E-Line Lincoln,1, 101 33,793379
101E,SA,8693360,E-Line Lincoln,1, 101 36,793379
101E,SA,8693363,E-Line Lincoln,1, 101 32,793379
101E,SA,8693366,E-Line Lincoln,1, 101 37,793379
101E,SA,8693369,E-Line Lincoln,1, 101 31,793379
101E,SA,8693372,E-Line Lincoln,1, 101 35,793379
101E,SA,8693375,E-Line Lincoln,1, 101 34,793379
101E,SA,8693378,E-Line Lincoln,1, 101 33,793379
101E,SA,8693381,E-Line Lincoln,1, 101 36,793379
101E,SA,8693384,E-Line Lincoln,1, 101 32,793379
101E,SA,8693387,E-Line Lincoln,1, 101 37,793379
101E,SA,8693390,E-Line Lincoln,1, 101 31,793379
101E,SA,8693393,E-Line Lincoln,1, 101 35,793379
101E,SA,8693401,E-Line Lincoln,1, 101 34,793378
101E,SA,8693405,E-Line Lincoln,1, 101 31,793379
101E,SA,8693409,E-Line Lincoln,1, 101 31,793379
101E,SA,8693412,E-Line Lincoln,1, 101 35,793379
101E,SA,8693415,E-Line Lincoln,1, 101 34,793379
101E,SA,8693418,E-Line Lincoln,1, 101 33,793379
101E,SA,8693421,E-Line Lincoln,1, 101 36,793379
101E,SA,8693427,E-Line Lincoln,1, 101 34,793379
101E,SA,8693430,E-Line Lincoln,1, 101 33,793379
101E,SA,8693433,E-Line Lincoln,1, 101 36,793379
101E,SA,8693436,E-Line Lincoln,1, 101 32,793379
101E,SA,8693440,E-Line Lincoln,1, 101 33,793379
101E,SA,8693443,E-Line Lincoln,1, 101 32,793379
101E,SA,8693446,E-Line Lincoln,1, 101 31,793379
101E,SA,8693448,E-Line Lincoln,1, 101 31,793379
101E,SA,8693453,E-Line Lincoln,1, 101 35,793379
101E,SA,8693457,E-Line Lincoln,1, 101 37,793379
101E,SA,8693460,E-Line Lincoln,1, 101 31,793379
101E,SA,8693463,E-Line Lincoln,1, 101 35,793379
101E,SA,8693466,E-Line Lincoln,1, 101 34,793379
101E,SA,8693469,E-Line Lincoln,1, 101 33,793379
101E,SA,8693472,E-Line Lincoln,1, 101 36,793379
101E,SA,8693475,E-Line Lincoln,1, 101 32,793379
101E,SA,8693478,E-Line Lincoln,1, 101 37,793379
101E,SA,8693481,E-Line Lincoln,1, 101 31,793379
101E,SA,8693484,E-Line Lincoln,1, 101 35,793379
101E,SA,8693487,E-Line Lincoln,1, 101 34,793379
101E,SA,8693490,E-Line Lincoln,1, 101 33,793379
101E,SA,8693493,E-Line Lincoln,1, 101 36,793379
101E,SA,8693495,E-Line Lincoln,1, 101 32,793379
101E,SA,8693497,E-Line Lincoln,1, 101 35,793379
101E,SA,8693499,E-Line Lincoln,1, 101 37,793378
101E,SA,8693500,E-Line Lincoln,1, 101 33,793378
101E,SA,8693509,E-Line Lincoln,1, 101 32,793379
101E,SA,8693511,E-Line Lincoln,1, 101 35,793379
101E,SA,8693516,E-Line Lincoln,1, 101 33,793379
101E,SA,8693521,E-Line Lincoln,1, 101 32,793379
101E,SA,8693525,E-Line Lincoln,1, 101 31,793379
101E,SA,8693528,E-Line Lincoln,1, 101 34,793379
101E,SA,8693531,E-Line Lincoln,1, 101 33,793379
101E,SA,8693535,E-Line Lincoln,1, 101 32,793379
101E,SA,8693536,E-Line Lincoln,1, 101 32,793378
101E,SA,8693537,E-Line Lincoln,1, 101 31,793378
101E,SU,8693540,E-Line Union Station,0, 101 37,793350
101E,SU,8693542,E-Line Union Station,0, 101 32,793350
101E,SU,8693549,E-Line Union Station,0, 101 32,793350
101E,SU,8693551,E-Line Union Station,0, 101 34,793350
101E,SU,8693554,E-Line Union Station,0, 101 31,793350
101E,SU,8693558,E-Line Union Station,0, 101 35,793350
101E,SU,8693561,E-Line Union Station,0, 101 31,793350
101E,SU,8693564,E-Line Union Station,0, 101 37,793350
101E,SU,8693577,E-Line Union Station,0, 101 33,793350
101E,SU,8693581,E-Line Union Station,0, 101 35,793350
101E,SU,8693589,E-Line Union Station,0, 101 36,793350
101E,SU,8693592,E-Line Union Station,0, 101 32,793350
101E,SU,8693595,E-Line Union Station,0, 101 36,793350
101E,SU,8693598,E-Line Union Station,0, 101 33,793350
101E,SU,8693601,E-Line Union Station,0, 101 34,793350
101E,SU,8693603,E-Line Union Station,0, 101 35,793350
101E,SU,8693609,E-Line Union Station,0, 101 37,793350
101E,SU,8693612,E-Line Union Station,0, 101 32,793350
101E,SU,8693615,E-Line Union Station,0, 101 36,793350
101E,SU,8693622,E-Line Union Station,0, 101 31,793350
101E,SU,8693623,E-Line Union Station,0, 101 37,793350
101E,SU,8693626,E-Line Union Station,0, 101 32,793350
101E,SU,8693630,E-Line Union Station,0, 101 33,793350
101E,SU,8693633,E-Line Union Station,0, 101 31,793350
101E,SU,8693634,E-Line Union Station,0, 101 33,793350
101E,SU,8693637,E-Line Union Station,0, 101 34,793350
101E,SU,8693640,E-Line Union Station,0, 101 35,793350
101E,SU,8693654,E-Line Union Station,0, 101 34,793350
101E,SU,8693655,E-Line Union Station,0, 101 31,793350
101E,SU,8693667,E-Line Union Station,0, 101 34,793350
101E,SU,8693668,E-Line Union Station,0, 101 33,793350
101E,SU,8693671,E-Line Union Station,0, 101 34,793350
101E,SU,8693672,E-Line Union Station,0, 101 36,793350
101E,SU,8693673,E-Line Union Station,0, 101 32,793350
101E,SU,8693674,E-Line Union Station,0, 101 37,793350
101E,SU,8693677,E-Line Union Station,0, 101 37,793350
101E,SU,8693681,E-Line Union Station,0, 101 32,793350
101E,SU,8693684,E-Line Union Station,0, 101 36,793350
101E,SU,8693687,E-Line Union Station,0, 101 33,793350
101E,SU,8693690,E-Line Union Station,0, 101 34,793350
101E,SU,8693693,E-Line Union Station,0, 101 35,793350
101E,SU,8693696,E-Line Union Station,0, 101 31,793350
101E,SU,8693699,E-Line Union Station,0, 101 36,793350
101E,SU,8693702,E-Line Union Station,0, 101 33,793350
101E,SU,8693707,E-Line Union Station,0, 101 35,793350
101E,SU,8693710,E-Line Union Station,0, 101 31,793350
